Название,Кр. описание,Описание,Адрес,Шир.,Долг.,ID на старом сайте
Болото Нюжемское-1, Болото Нюжемское-1,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 августа 1975 года № 545.Местоположение: от районного центра г. Бор к юго-востоку 38 км, от п. Память Парижской Коммуны к северо-востоку 4 км, от д. Тугарино к юго-западу 6 км, от п. Луговой Борок к северу 2 км.Площадь памятника природы: 1307,0 га.Назначение: охрана генофонда (редкие виды животных); охрана ценофонда (типичные биоценозы низинного черноольхового болота); научное (зоологическое, ботаническое); водоохранное.Режим охраны: болото подлежит сохранению в естественном виде.Пользователи, владельцы и собственники земель: Борское районное лесничество (Затонское и Завражновское участковые лесничества).Памятник природы создан для охраны одного из самых крупных низинных черноольховых болот в Нижегородской области. Болото лежит в пойме р. Нюжма и тянется лентой вдоль ее русла. Река, образующая ось болота, распадается здесь на рукава и заводи с очень медленным течением. На поверхности воды листья водных растений образуют зеленые ковры. Здесь встречаются ряски, водокрас лягушачий, рдест плавающий, кубышка желтая, белокрыльник болотный, местами телорез. Берегов у реки здесь нет – между заводями и протоками возвышаются кочки, на которых растет ольха. К краю болота кочки располагаются чаще, воды между ними становится все меньше, деревья достигают больших размеров. У края болота, где открытой воды уже нет,  столетний ольховый древостой поднимается на высоту более 20 метров, к ольхе примешиваются береза и ель. Болото служит местом гнездования большого подорлика (глобально редкий вид, занесенный в Красную книгу РФ), серой цапли, серого журавля, занесенных в Красную книгу Нижегородской области.",Болото Нюжемское-1,56.1262,44.5481,1381
"Государственный природный биологический (охотничий) заказник ""Бутурлинский"" "," Государственный природный биологический (охотничий) заказник ""Бутурлинский"" ","Организован: решением исполкома Горьковского областного Совета трудящихся от 20 марта 1953 года № 390 на площади 250 га сроком на 5 лет. В 1960 году было принято повторное решение о создании заказника той же площадью, но сроком уже на 10 лет (решение Горьковского облисполкома от 12 декабря 1960 года № 861). В 1964 году заказник решением Горьковского облисполкома от 24 февраля 1964 года № 95 был значительно расширен и его площадь увеличена до 20,2 тыс. га, однако уже в 1965 году площадь заказника была сокращена на 2 тыс. га (решение Горьковского облисполкома от 19 июня 1965 года № 560). Срок действия заказника продлевался решениями Горьковского облисполкома от 28 мая 1974 года № 410 и от 31 мая 1985 года № 263 (этим же решением было утверждено положение о заказнике). В 1991 году площадь заказника вновь была уменьшена, теперь уже до 14,7 тыс. га (решение Горьковского облисполкома от 29 мая 1991 года № 241). Распоряжением Администрации Нижегородской области от 19 февраля 1997 года № 208-р срок действия заказника вновь был продлен и установлен как бессрочный.Местоположение: при районном центре р.п. Бутурлино и при с. Каменищи.Общая площадь: 14700 га.Назначение: сохранение и увеличение численности водоплавающих птиц и других ценных охотничьих животных, обитающих в озерно-болотном комплексе поймы среднего течения р. Пьяна и прилегающих территорий, а также для создания им благоприятных условий в периоды миграций и размножения.Заказник включает в себя почти всю пойму северной ветви р. Пьяны в Бутурлинском районе с прилегающими сельскохозяйственными угодьями и участками леса. Территория представляет собой уникальные по ценности угодья для гнездования и концентрации на пролете водоплавающих птиц. Пойма р. Пьяны (5000 га) – памятник природы областного значения.Пользователи, владельцы и собственники земель: ТНВ «Нива – Михеев и К°», СПК «Кремницкий», ООО «Вперед», СПК «Вперед», СПК «Уваровский», Бутурлинский ПНИ, Бутурлинский сельскохозяйственный техникум, Бутурлинская птицефабрика, МУП «Бутурлинское», Бутурлинская поселковая администрация, Бутурлинское межрайонное лесничество (Бутурлинское участковое лесничество), земли запаса.","Государственный природный биологический (охотничий) заказник ""Бутурлинский"" ",55.5807,45.0116,1382
Заболоченная пойма р. Пьяны, Заболоченная пойма р. Пьяны,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 15 марта 1973 года № 313.Местоположение: при районном центре р.п. Бутурлино с северо-востока, при с. Каменищи с юга.Площадь памятника природы: 5000,0 га.Назначение: охрана ценофонда (типичные биоценозы пойменных дубрав, низинных болот, лугов, пойменных озер); охрана генофонда (редкие виды животных); ресурсоохранное (ресурсы охотфауны).Режим охраны: подлежит охране от осушения и сохранению в естественном виде.Пользователи, владельцы и собственники земель: СПК «Кремницкий», ООО «Вперед», ПСХ «Бутурлинское».Пойма р. Пьяны в Бутурлинском районе особенно широка. Река, знаменитая своей извилистостью, здесь распадается на протоки, в которых легко заблудиться. Памятник природы призван сохранить этот участок поймы северной ветви Пьяны с типичными ландшафтами: пойменные дубравы, низинные болота, луга, пойменные и карстовые озера. Пойменный водно-болотный комплекс – рай для птиц. Здесь во множестве гнездятся утки и кулики. Памятник природы служит местообитанием редких видов животных, занесенных в Красную книгу Нижегородской области (чомга, красношейная поганка, малая выпь, серый журавль, мородунка, поручейник, турухтан, белокрылая и черная крачки, малая чайка, жуки рода майка). ",Заболоченная пойма р. Пьяны,55.5731,44.9969,1383
Озеро Чембасовское, Озеро Чембасовское,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 17 августа 1976 года № 558. Паспорт утвержден распоряжением Администрации Нижегородской области от 21 августа 1996 г. № 1129-р.Местоположение: от р.п. Бутурлино на юго-запад 22,5 км, примыкает к северо-западному краю с.Чембасово, от с. Княж-Павлово на восток 2 км.Площадь памятника природы: 37,0 га, площадь охранной зоны 112,0 га.Назначение: охрана генофонда (место произрастания редких видов растений); охрана ценофонда (типичные биоценозы карстовых озер); научное (ботаническое); водоохранное (для реки Пьяны); ресурсоохранное (ресурсы охотфауны).Пользователи, владельцы и собственники земель: Бутурлинское межрайонное лесничество (Бутурлинское участковое лесничество); ООО ПКП «Якшенское».Памятник природы представляет собой карстовый водоем неправильно-подковообразной формы, расположенный у с. Чембасово. Через ручей Сердемь, перекрытый в настоящее время плотиной, озеро соединяется в паводок с р. Пьяной. Береговые склоны озера довольно высокие, большей частью открытые, в отдельных местах у подножия поросшие сосной, ольхой, ивами. На озере имеются многочисленные острова и полуострова. Озеро характеризуется значительным разнообразием видов и сообществ прибрежноводной и водной растительности. Здесь в большом количестве растут редкие виды флоры, занесенные в Красную книгу Нижегородской области: наяда морская, занникелия болотная. По данным Е.В. Лукиной, здесь была также отмечена частуха Лезеля (Красная книга Нижегородской области). Озеро служит местом гнездования большого числа водоплавающих и околоводных птиц.",Озеро Чембасовское,55.4164,44.6287,1384
Озеро Карасное, Озеро Карасное,"Организован: распоряжением Администрации Нижегородской области от 20 августа 1996 года № 1120-р. Паспорт на памятник природы утвержден тем же распоряжением.Местоположение: от районного центра р.п. Бутурлино на юго-запад 19,5 км, от с. Сурадеево на восток 4 км, от с. Борнуково на северо-запад 3 км, при п. Возрождение к северу.Площадь памятника природы: 38,0 га, площадь охранной зоны 88,3 га.Назначение: охрана генофонда (редкие виды животных и растений); охрана ценофонда (представлены типичные биоценозы карстовых озер); научное (зоологическое, ботаническое); водоохранное; ресурсоохранное (ресурсы охотфауны).Пользователи, владельцы и собственники земель: Бутурлинское межрайонное лесничествоз (Бутурлинское участковое лесничество).Озеро Карасное карстового происхождения, оно имеет неправильную форму, береговая линия сильно изрезана. Южный и западный берега низкие, открытые, заняты лугами; северный и восточный – высокие, покрытые лесом. Этот контраст придает озеру особую живописность. Представляет интерес примыкающая к озеру старовозрастная дубрава, вошедшая в охранную зону памятника природы. Режим охранной зоны позволяет сохранить типичную экосистему широколиственного леса. Памятник природы и его охранная зона служат местообитанием редких видов животных и растений, занесенных в Красную книгу Нижегородской области (рыжая вечерница, серая цапля, чомга, лысуха, горчак, рдест длиннейший). На озере гнездится большое количество уток.",Озеро Карасное,55.4068,44.7569,1385
Борнуковская пещера, Борнуковская пещера,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 октября 1965 года № 915. Паспорт утвержден распоряжением Администрации Нижегородской области от 21 августа 1996 г. № 1129-р.Местоположение: от районного центра р.п. Бутурлино на юго-запад 20,5 км, от с. Борнуково на север 1 км, от п. Возрождение на юго-восток 2 км.Площадь памятника природы: 2,7 га, площадь охранной зоны 95,0 га.Назначение: охрана генофонда (место обитания редких видов животных); научное (геологическое, геоморфологическое, зоологическое).Пользователи, владельцы и собственники земель: СПК «Красный штурмовик».Памятник природы создан для сохранения уникальной Борнуковской пещеры, открытой экспедицией П.С. Палласа в XVIII веке. Издавна она привлекала внимание виднейших русских геологов. По-видимому, это была самая большая подземная карстовая полость естественного происхождения на Русской равнине. По данным А.Н. Розанова и Ю.В. Порошина (1933), «...главная пещера летом 1929 года имела следующие размеры: длина – 73 м, ширина – 37 м, высота – 8,5 м. В непосредственной близости от пещеры, близ ее входа, стоят алебастровые столбы, разрабатываемые местным населением, объединенным в артель «Красная пещера». К сожалению, разработка ведется также внутри пещеры, что грозит в будущем разрушением этого величественного памятника природы». В 1958 году в результате взрыва, проведенного в гипсовом карьере, вход в пещеру был засыпан, но при этом  открылся доступ в две другие полости длиной 200 и 60 м. Вход в них находится под обрывом, в северной части Борнуковской скалы. В настоящее время в районе бывшей Борнуковской пещеры имеются две короткие несоединяющиеся полости, малопригодные для экскурсионного посещения. Пещера, сформировавшаяся в разноцветных сакмарских гипсах, по многообразию цвета и минералов и пород была одной из самых красивых в стране. В настоящее время всю красоту и многообразие гипсов самарского яруса передает обнажение этих пород, называемое Борнуковским разрезом. Здесь обилие разновидностей гипса с разнообразием окрасок. Больше всего здесь мелкокристаллического гипса розоватых оттенков. В его толщах идут пласты синеватого ангидрида, прослойки селенита нежно-розового, ярко-зеленого и других цветов, а также прозрачного гипса («марьино стекло»). Общая мощность вскрытого разреза составляет 30 м. Пещера представляет интерес в качестве места летнего обитания и зимовки летучих мышей, занесенных в Красную книгу Нижегородской области. Здесь обнаружены северный кожанок, ушан, ночницы (усатая, Брандта, прудовая). Карьер, в котором расположена пещера, служит местом гнездования домового сыча (Красная книга Нижегородской области).",Борнуковская пещера,55.3931,44.772,1386
Дубрава около с. Тарталей, Дубрава около с. Тарталей,"Организован: распоряжением Администрации Нижегородской области от 20 августа 1996 года № 1120-р. Паспорт утвержден тем же распоряжением.Местоположение: от районного центра р.п. Бутурлино на юго-восток 15 км, от с.Тарталей на юг 0,6 км, от  с. Кочуново на восток 3,5 км.Площадь памятника природы: 608,0 га.Назначение: охрана ценофонда (типичные биоценозы водораздельных дубрав); научное (ботаническое); водоохранное.Пользователи, владельцы и собственники земель: Бутурлинское межрайонное лесничествоз (Бутурлинское участковое лесничество).Памятник природы создан для охраны типичных биоценозов водораздельных дубрав. Старые дубравы с многовековыми деревьями на территории района исчезли еще в XIX веке. Тем не менее лесные экосистемы после рубок восстанавливаются. Для охраны выбран один из наиболее крупных фрагментов восстанавливающегося широколиственного леса, где деревья достигают возраста 60–70 лет, имеют хорошее состояние. Здесь наиболее полно представлены кустарники и травы – спутники дуба. Соблюдение режима памятника природы позволит в полной мере восстановить участок практически исчезнувших экосистем.Организован: распоряжением Администрации Нижегородской области от 20 августа 1996 года № 1120-р. Паспорт утвержден тем же распоряжением.Местоположение: от районного центра р.п. Бутурлино на юго-восток 15 км, от с.Тарталей на юг 0,6 км, от  с. Кочуново на восток 3,5 км.Площадь памятника природы: 608,0 га.Назначение: охрана ценофонда (типичные биоценозы водораздельных дубрав); научное (ботаническое); водоохранное.Пользователи, владельцы и собственники земель: Бутурлинское межрайонное лесничествоз (Бутурлинское участковое лесничество).Памятник природы создан для охраны типичных биоценозов водораздельных дубрав. Старые дубравы с многовековыми деревьями на территории района исчезли еще в XIX веке. Тем не менее лесные экосистемы после рубок восстанавливаются. Для охраны выбран один из наиболее крупных фрагментов восстанавливающегося широколиственного леса, где деревья достигают возраста 60–70 лет, имеют хорошее состояние. Здесь наиболее полно представлены кустарники и травы – спутники дуба. Соблюдение режима памятника природы позволит в полной мере восстановить участок практически исчезнувших экосистем.",Дубрава около с. Тарталей,55.4422,45.0777,1387
Озеро Вадское , Озеро Вадское ,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 октября 1965 года № 915.Местоположение: в районном центре с. Вад.Площадь памятника природы: 146,0 га.Назначение: охрана генофода (редкие виды животных и растений; охрана ценофонда (типичные биоценозы карстовых озер); научное (зоологическое, ботаническое, геологическое, гидрологическое); водоохранное.Режим охраны: обеспечить полную сохранность редкого и достопримечательного природного объекта.Пользователи, владельцы и собственники земель: Администрация с. Вад.Вадское озеро необычно по происхождению и гидрологическому режиму. Оно образовалось в результате слияния нескольких карстовых провалов в русле р. Вадок (левого притока Пьяны). Озеро прославилось воклинами – подводными карстовыми воронками, в которых находят выход мощные потоки подземных холодных вод. Необычность озера привлекала внимание первых исследователей нижегородских земель П.С. Палласа, И.И. Лепехина, а спустя столетие оно описано в трудах знаменитой почвенной экспедиции В.В. Докучаева. Преобладающие глубины не превышают 3 метров, а в районе воклин дно опускается до 12–15 метров. Река Вадок выше озера исчезает в карстовых полостях, а ниже вновь становится полноводной. В нижней части сохранившейся воклины открывается вход в подводную карстовую пещеру, которая была обнаружена аквалангистами в начале 1980-х годов. Озеро во многом утратило изначальный облик. В 1960-х годах здесь был создан рыбхоз. Уровень воды в озере был поднят плотиной, площадь его значительно увеличилась, оно приобрело характерную форму пруда. На мелководьях сформировались обширные заросли прибрежных и водных растений, ставшие местом гнездования многочисленных водоплавающих и околоводных птиц. Озеро – местообитание редких видов животных и растений, занесенных в Красную книгу Нижегородской области (чомга, черношейная поганка, лебедь-шипун, малая выпь, лысуха, поручейник, мородунка, малая чайка, крачки черная, белокрылая и речная, занникелия болотная, частуха Лезеля, лютик Кауфмана).",Озеро Вадское ,55.5476,44.2064,1388
Дубрава около с. Зелёные горы, Дубрава около с. Зелёные горы,"Организован: распоряжением Администрации Нижегородской области от 25.05.1998 года № 761-р. Паспорт на памятник природы утвержден тем же распоряжением.Местоположение: от г. Арзамаса на северо-восток 30 км, от с. Вад на север 5 км, от с. Зеленые Горы на юг 2 км, от с. Елховка на запад 4 км, от с. Крутой Майдан на восток 7 км.Площадь памятника природы: 31,0 га.Назначение: охрана ценофонда (типичные биоценозы плакорных дубрав); научное (ботаническое); водоохранное.Пользователи, владельцы и собственники земель: Арзамасское межрайонное лесничество (Вадское участковое лесничество).Старовозрастных лесов в Вадском районе практически не осталось. Небольшой фрагмент вековой дубравы очень интересен и взят под охрану как памятник природы. В этом лесу мы можем видеть двухярусный древостой из дуба, липы, клена, осины и березы. В подлеске преобладают заросли лещины, а травостой слагают  характерные спутники дуба – сныть обыкновенная, пролесник многолетний, медуница неясная, копытень европейский, будра плющевидная, осока волосистая, звездчатка ланцетовидная, лютик кашубский и многие другие.",Дубрава около с. Зелёные горы,55.5876,44.2184,1389
"Государственный природный комплексный заказник ""Варнавинский"""," Государственный природный комплексный заказник ""Варнавинский""",,"Государственный природный комплексный заказник ""Варнавинский""",57.4445,45.1301,1390
Болото Костыль, Болото Костыль,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 14 февраля 1984 года № 56.Местоположение: от р.п. Варнавино на юго-запад 5 км.Площадь памятника природы: 217,0 га.Назначение: охрана ценофонда (биоценозы верховых, переходных и низинных болот); ресурсоохранное (клюквенник); рекреационное.Пользователи, владельцы и собственники земель: Варнавинское районное лесничество (Варнавинское участковое лесничество).Своим названием памятник природы обязан необычной форме: болото вместе с вытекающей из нее рекой по форме напоминает костыль. Болото расположено в пойме реки Ветлуги, его возраст не менее 5000 лет. Здесь можно увидеть участки всех типов – верхового (в центре), перходного (наиболее распространен) и низинного (по окраинам). В болото вдаются песчаные гривы, покрытые вековыми борами. Болото богато клюквой.",Болото Костыль,57.3601,45.1149,1391
Пихтово-еловые леса Лапшангского лесничества, Пихтово-еловые леса Лапшангского лесничества,"Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением.Местоположение: от р.п. Варнавино на северо-запад 16 км, от д. Русениха на запад 2,5 км.Площадь памятника природы: 1404,0 га, площадь охранной зоны 831,1 га.Назначение: охрана генофонда (редкие виды растений); охрана ценофонда (типичные биоценозы южно-таежных лесов); научное (ботаническое); водоохранное (для реки Наврас и реки Лозовая);Пользователи, владельцы и собственники земель: Варнавинское районное лесничество (Лапшангское участковое лесничество).Этот памятник природы – один из пяти сохранившихся в области малонарушенных массивов зональных южнотаежных темнохвойных лесов с дубравными элементами, третий по величине и значимости. Он сохраняет участок североевропейской тайги на юго-восточной границе ее распространения. Около 30 % площади занимают участки ельника липового почти полуторавекового возраста. Наряду с елью здесь встречаются немногочисленные пихты. Еще около 40 % охраняемой площади приходится на лес того же типа в возрасте около 100 лет, успешно восстанавливающийся после рубок конца ХIХ – начала ХХ века. Остальная территория памятника природы занята средневозрастными производными березняками и в меньшей степени осинниками. Свидетельством хорошей сохранности экосистем служит находка здесь лобарии легочной – редкого вида лишайников, занесенного в Красную книгу России. Под пологом леса растет диплазий сибирский – редкий таежный папоротник, занесенный в Красную книгу Нижегородской области. Здесь встречен серый сорокопут, занесенный в Красную книгу России. Более детальное изучение территории может принести много новых открытий. ",Пихтово-еловые леса Лапшангского лесничества,57.4475,44.8247,1392
Массив пихтово-елового леса по реке Варваж, Массив пихтово-елового леса по реке Варваж,"Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением.Местоположение: от районного центра р.п. Варнавино к северу 32 км, от п. Красный Луч к востоку 4 км, от  д. Непогодиха к северу 3 км.Площадь памятника природы: 591,0 га.Назначение: охрана генофонда (редкие виды животных и растений); охрана ценофонда (типичные биоценозы южно-таежных лесов с дубравными элементами); научное (зоологическое, ботаническое); водоохранное (для реки Варваж); ресурсоохранное (ресурсы охотфауны).Пользователи, владельцы и собственники земель: Варнавинское районное лесничество (Шудское участковое лесничество).Памятник природы сохраняет типичный участок столетних темнохвойных южнотаежных лесов. Он расположен в основном в пойме р. Варваж и ее притоков, поэтому наиболее часто здесь встречаются ельники приручьевые и сфагновые. Древостой образован елью с небольшой примесью пихты сибирской, березой, осиной, иногда встречается сосна. В подлеске и травостое встречаются такие таежные виды – спутники ели, как дерен белый, смородина красная, черника, кислица, двулепестник альпийский, брусника, грушанковые, а также юго-западные виды – спутники дуба: липа сердцелистная, клен платановидный, рябина, бересклет бородавчатый, жимолость лесная, малина лесная, сныть обыкновенная, таволга вязолистная, копытень европейский, седмичник европейский, ясменник пахучий. Широко распространены: смородина черная, калина, хвощ лесной, голокучник Линнея, щитовники, борец северный, бодяк огородный. На территории памятника природы произрастают малина хмелелистная, воронец красноплодный (Красная книга Нижегородской области). Здесь, наряду с охотничьими видами (кабан, лось, медведь, заяц-беляк, лисица, волк, бобр европейский, глухарь, тетерев, кряква, чирок-свистунок, чирок-трескунок), встречаются виды животных, занесенные в Красную книгу Нижегородской области: рыжая вечерница, лесной нетопырь, обыкновенная гадюка.",Массив пихтово-елового леса по реке Варваж,57.7163,45.1178,1393
Участки пихтово-еловых лесов по р.р. Шада и Аграфенка, Участки пихтово-еловых лесов по р.р. Шада и Аграфенка,"Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м, реорганизован распоряжением Администрации Нижегородской области от 22 августа 1997 г. № 1206-р. Паспорт на памятник природы утвержден тем же распоряжением.Местоположение: от райцентра р.п. Варнавино к северо-западу 31 км, от п. Северный к северу 14 км.Площадь памятника природы: 883 га, площадь охранной зоны 2515 га.Назначение: охрана генофонда (редкие виды животных и растений); охрана ценофонда (биоценоз южно-таежных лесов с  убравными элементами); научное (зоологическое, ботаническое); водоохранное (для рек Шада, Глухая Шада, Каменка, Аграфенка, Большая Аграфенка).Пользователи, владельцы и собственники земель: Варнавинское районное лесничество (Каливецкое участковое лесничества).На северо-западе Варнавинского района сохранилось несколько отдельных фрагментов таежных лесов. Для их охраны и организован памятник природы. Участки старого леса окружила единая охранная зона, включающая вторичные леса на месте вырубок и гарей. В памятнике природы представлены различные типы пихтово-еловых лесов с дубравными элементами. Наиболее ценные участки леса, где возраст древостоя достигает 100–120 лет, расположены вдоль рек Шада, Глухая Шада, Каменка, Большая Аграфенка и Аграфенка. В древостое преобладает ель, примесь пихты очень незначительна. Травостой в этих лесах включает дубравные (сныть обыкновенная, сочевичник весенний, седмичник европейский и другие) и таежные (черника, кислица, линнея северная, щитовник австрийский и другие) виды. На территории памятника природы встречаются филин, занесенный в Красную книгу России, бурундук, занесенный в Красную книгу Нижегородской области.",Участки пихтово-еловых лесов по р.р. Шада и Аграфенка,57.5824,44.7253,1394
Участок лиственнично-соснового леса в квартале 98 Камешниковского лесничества и в квартале 5 Варнавинского лесничества , Участок лиственнично-соснового леса в квартале 98 Камешниковского лесничества и в квартале 5 Варнавинского лесничества ,"Организован: решением Нижегородского областного Совета народных депутатов от 02 ноября 1993 года № 340-м. Паспорт на памятник природы утвержден тем же решением.Местоположение: от р.п. Варнавино к северо-востоку 11,5 км.Площадь памятника природы: 6,1 га, площадь охранной зоны 98,6 га.Назначение: охрана ценофонда (типичные биоценозы сосновых боров с лиственницей); охрана генофонда (редкий вид растения); научное (геоботаническое).Пользователи, владельцы и собственники земель: Варнавинское районное лесничество (Камешниковское участковое лесничество, Варнавинское участковое лесничество).Памятник природы сохраняет почти исчезнувшие в Нижегородском Поветлужье биоценозы сосновых боров с лиственницей. В Варнавинском районе сохранилось всего три таких участка малой площади. Лиственница сибирская – редкий вид, занесенный в Красную книгу Нижегородской области. В этом небольшом фрагменте почти полуторавекового бора можно встретить единичные столетние лиственницы. Подлесок здесь образован липой, крушиной и рябиной. Подрост преимущественно еловый, встречаются клен и липа. Травяно-кустарничковый ярус слагают черника, брусника, костяника, кислица, вейник, ландыш, медуница, золотарник.",Участок лиственнично-соснового леса в квартале 98 Камешниковского лесничества и в квартале 5 Варнавинского лесничества ,57.4355,45.2962,1395
